一级栏目	功能模块	功能描述	备注
系统设置	公告	公告标题、公告内容（富文本）、状态（可发布、取消发布）	
	栏目	要目标题、要目内容（富文本）、状态（可发布、取消发布）	
	头条	头条标题、头条内容（富文本）、状态（可发布、取消发布）	
	精彩视频	视频名称、视频链接、备注	
	友情链接	链接标题、图片上传、链接地址、备注	
机构概览	本会概况	介绍标题、介绍内容（富文本）、状态（可设置启用、停用）	
	机构组织	封面图、机构名称、介绍内容（富文本）、状态（可设置启用、停用）作品目录、关联文章	
	服务项目	服务标题、服务内容（富文本）、状态（可设置启用、停用）	
	理事单位	封面图、单位名称、单位介绍（富文本）	
	团体会员	封面图、单位名称、单位介绍（富文本）	
	优秀会员	封面图、单位名称、单位介绍（富文本）、作品目录、关联文章	
本会专家	本会专家	会员图片、会员名称、关联文章；	
新闻资讯	新闻资讯	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
研究论坛	研究论坛	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
课题实验	课题实验	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
文学教育	文学教育	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
写作宝库	写作宝库	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
学生作品	学生作品	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
教师作品	教师作品	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
社团金榜	社团金榜	封面图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
校园文学馆	校园文学馆	轮播图、分类选择、文章标题、文章内容（富文本）、文章来源、发布人	
好书推荐	好书推荐	封面图、书名、内容（富文本）	
投稿审核	投稿审核	用户接受网站端的投稿内容，可审核通过、审核驳回	
注册用户	注册用户	手机号码、密码、修改密码功能；	
			
			
		除上述内容外，系统应有完整的登录功能、管理员用户功能	
